source,log_message,target_label,layer,confidence,reasoning_tokens
DatabaseServer,Thread pool exhausted after 3000ms latency while executing read replica query.,Database Error,Layer 2 (BERT Vector Boundary),42.4%,"[""query"", ""replica""]"
SystemMonitor,Memory heap overflow detected in worker node alpha-7 causing GC pressure spike.,Resource Warning,Layer 2 (BERT Vector Boundary),79.2%,"[""Memory"", ""heap""]"
NetworkGateway,Packet drop rate exceeded safety threshold across VPN tunnel region us-east-1.,Network Anomaly,Layer 2 (BERT Vector Boundary),80.4%,"[""Packet"", ""drop""]"
ModernCRM,IP 192.168.133.114 blocked due to repeated authentication failures and anomaly score 0.91.,Security Alert,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""blocked""]"
BillingSystem,User 12345 logged in successfully from new device fingerprint (Chrome/Linux).,User Action,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""User 12345 logged in""]"
AnalyticsEngine,File data_6957.csv uploaded successfully by user User265 with checksum validation passed.,System Notification,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""uploaded""]"
AnalyticsEngine,Backup completed successfully but incremental snapshot delayed due to disk I/O contention.,System Notification,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""Backup""]"
ModernHR,GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1 RCODE 200 len:1583 time:0.1878400,HTTP Status,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""GET""]"
ModernHR,Admin access escalation detected for user 9429 from unknown geographic location.,Security Alert,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""Admin""]"
LegacyCRM,Case escalation for ticket ID 7324 failed because assigned support agent is inactive and SLA breached.,Error,Layer 3 (LLM Generative Inference),High (Semantic Reasoning),"[""failed"", ""SLA breached"", ""inactive""]"
LegacyCRM,Invoice generation aborted for order ID 8910 due to invalid tax calculation module version mismatch.,Error,Layer 3 (LLM Generative Inference),High (Semantic Reasoning),"[""aborted"", ""version mismatch"", ""invalid""]"
LegacyCRM,"BulkEmailSender deprecated warning: feature removed in v3.2, migration required to EmailCampaignManager.",Warning,Layer 3 (LLM Generative Inference),High (Semantic Reasoning),"[""deprecated warning"", ""migration required""]"
LegacyCRM,"ReportGenerator module marked legacy; scheduled removal in v4.0, dependency conflict detected in pipeline.",Warning,Layer 3 (LLM Generative Inference),High (Semantic Reasoning),"[""dependency conflict detected"", ""scheduled removal""]"
PaymentGateway,Transaction rollback triggered due to inconsistent ledger state across distributed nodes.,Database Error,Layer 2 (BERT Vector Boundary),66.3%,"[""Transaction"", ""inconsistent""]"
PaymentGateway,Card tokenization failure: encryption service returned null response during secure handshake.,Network Anomaly,Layer 2 (BERT Vector Boundary),44.6%,"[""handshake""]"
AuthService,Multiple failed login attempts detected for user_id=8821 triggering adaptive rate limiting.,User Action,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""login""]"
AuthService,JWT validation failed due to expired signing key rotation mismatch.,Database Error,Layer 2 (BERT Vector Boundary),57.7%,"[""expired"", ""rotation""]"
SearchEngine,Index corruption detected in shard 7 causing partial query degradation under high load.,Database Error,Layer 2 (BERT Vector Boundary),47.6%,"[""query"", ""corruption""]"
SearchEngine,Autocomplete service latency spike observed after schema update rollback attempt.,Database Error,Layer 2 (BERT Vector Boundary),49.2%,"[""schema"", ""Autocomplete""]"
CloudOrchestrator,Kubernetes pod eviction triggered due to memory pressure on node cluster-east-3.,Resource Warning,Layer 2 (BERT Vector Boundary),53.1%,"[""memory"", ""pressure""]"
CloudOrchestrator,Service mesh routing misconfiguration causing intermittent 502 responses across microservices.,HTTP Status,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""502""]"
DevOpsPipeline,CI/CD deployment failed at step 'artifact verification' due to checksum mismatch.,Database Error,Layer 2 (BERT Vector Boundary),44.2%,"[""failed""]"
DevOpsPipeline,Rollback initiated after canary deployment showed 12% error rate increase.,Resource Warning,Layer 2 (BERT Vector Boundary),35.0%,"[""increase"", ""canary""]"
LoggingService,Log ingestion backlog reached 1.2M events causing delayed observability pipeline.,System Activity,Layer 2 (Heuristic Fallback),Automated,[]
MonitoringAgent,CPU steal time abnormal in VM hypervisor layer indicating noisy neighbor issue.,Resource Warning,Layer 2 (BERT Vector Boundary),47.4%,"[""steal"", ""hypervisor""]"
SecurityLayer,Suspicious outbound traffic detected with encrypted payload to unknown endpoint.,Security Alert,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""Suspicious""]"
SecurityLayer,Possible lateral movement detected via internal API abuse pattern recognition.,Security Alert,Layer 2 (BERT Vector Boundary),61.9%,"[""abuse"", ""recognition""]"
LegacyIntegration,SOAP endpoint timeout during migration bridge between v1 and v2 services.,Network Anomaly,Layer 2 (BERT Vector Boundary),67.4%,"[""timeout"", ""bridge""]"
LegacyIntegration,Deprecated API call detected: /legacy/getUserInfo returning partial schema mismatch.,HTTP Status,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""get""]"
DataWarehouse,ETL job failed due to schema drift in upstream Kafka stream partition 14.,Database Error,Layer 2 (BERT Vector Boundary),39.9%,"[""schema"", ""Kafka""]"
DataWarehouse,Data reconciliation mismatch detected between staging and production tables.,Database Error,Layer 2 (BERT Vector Boundary),83.9%,"[""tables"", ""reconciliation""]"
